STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,EL,Greece,2023,,5877759,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,EL,Greece,2024,,6027946,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2013,,22025000,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2014,,22029512,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2015,,22355549,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2016,,22876830,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2017,,24676557,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2018,,25304190,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2019,,25836586,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2020,,26034347,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2021,,26293882,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2022,,26605478,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2023,,26778142,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,ES,Spain,2024,,26700972,,,,,
dataflow,ESTAT:ROAD_EQS_CARAGE(1.0),Passenger cars by age,A,Annual,NR,Number,TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2000,,182033003,,,,,
